"id","dob","sex"
"320","19700320","W"
"321","19700321","W"
"322","19700321","W"
"323","19700403","W"
"324","19700416","M"
"325","19700514","M"
"326","19700603","M"
"327","19700615","M"
"328","19700620","M"
"329","19700630","W"
"330","19700807","M"
"331","19700821","M"
"332","19700901","M"
"333","19700908","W"
"334","19700923","M"
"335","19700924","M"
"336","19700929","M"
"337","19700927","M"
"338","19701009","M"
"339","19701009","M"
"340","19701013","W"
"341","19701025","W"
"342","19701027","M"
"343","19701023","M"
"344","19701028","M"
"345","19701108","W"
"346","19701119","M"
"347","19701122","M"
"348","19701201","M"
"349","19701203","W"
"350","19701127","W"
"351","19701212","W"
"352","19701213","W"
"353","19701218","M"
"354","19710110","M"
"355","19710104","W"
"356","19710108","W"
"357","19710109","W"
"358","19710108","W"
"359","19710129","W"
"360","19710128","M"
"361","19710207","M"
"362","19710212","M"
"363","19710210","M"
"364","19710214","M"
"365","19710225","M"
"366","19710225","W"
"367","19710301","M"
"368","19710308","M"
"369","19710320","W"
"370","19710327","W"
"371","19710324","M"
"372","19710329","W"
"373","19710402","M"
"374","19710422","W"
"375","19710429","M"
"376","19710430","W"
"377","19710501","W"
"378","19710511","M"
"379","19710517","M"
"380","19710519","M"
"381","19710516","M"
"382","19710523","W"
"383","19710601","M"
"384","19710527","W"
"385","19710603","M"
"386","19710607","W"
"387","19710602","M"
"388","19710606","M"
"389","19710629","W"
"390","19710704","M"
"391","19710706","M"
"392","19710704","W"
"393","19710709","W"
"394","19710725","M"
"395","19710725","M"
"396","19710729","M"
"397","19710810","M"
"398","19710806","M"
"399","19710801","W"
"400","19710812","W"
"401","19710827","M"
"402","19710904","W"
"403","19710909","M"
"404","19710908","W"
"405","19710912","W"
"406","19710922","M"
"407","19710925","W"
"408","19710929","M"
"409","19711011","W"
"410","19711019","M"
"411","19711011","W"
"412","19711013","W"
"413","19711020","M"
"414","19711028","W"
"415","19711107","M"
"416","19711031","M"
"417","19711113","W"
"418","19711109","M"
"419","19711112","M"
"420","19711126","M"
"421","19711203","M"
"422","19711209","M"
"423","19711220","M"
"424","19711224","W"
"425","19720106","M"
"426","19720113","W"
"427","19720126","W"
"428","19720226","W"
"429","19720218","M"
"430","19720225","M"
"431","19720228","W"
"432","19720305","M"
"433","19720305","M"
"434","19720315","M"
"435","19720313","M"
"436","19720321","M"
"437","19720318","W"
"438","19720324","M"
"439","19720327","M"
"440","19720414","W"
"441","19720406","M"
"442","19720417","M"
"443","19720506","M"
"444","19720501","M"
"445","19720513","M"
"446","19720602","M"
"447","19720604","M"
"448","19720613","M"
"449","19720619","M"
"450","19720617","W"
"451","19720625","W"
"452","19720625","M"
"453","19720705","M"
"454","19720709","M"
"455","19720710","M"
"456","19720810","M"
"457","19720816","W"
"458","19720823","M"
"459","19720831","M"
"460","19720903","W"
"461","19720909","M"
"462","19720909","W"
"463","19720913","W"
"464","19720922","W"
"465","19720928","W"
"466","19720921","W"
"467","19720928","W"
"468","19721005","M"
"469","19721002","M"
"470","19721015","M"
"471","19721016","W"
"472","19721011","M"
"473","19721028","M"
"474","19721111","W"
"475","19721111","W"
"476","19721114","M"
"477","19721109","M"
"478","19721112","W"
"479","19721117","M"
"480","19721121","M"
"481","19721128","M"
"482","19721123","M"
"483","19721219","W"
"484","19721218","M"
"485","19721219","M"
"486","19730101","W"
"487","19730114","M"
"488","19730114","W"
"489","19730121","M"
"490","19730123","M"
"491","19730124","M"
"492","19730131","M"
"493","19730123","W"
"494","19730206","M"
"495","19730213","M"
"496","19730209","M"
"497","19730211","M"
"498","19730205","W"
"499","19730215","M"
"500","19730218","W"
"501","19730215","W"
"502","19730218","M"
"503","19730307","W"
"504","19730301","W"
"505","19730306","W"
"506","19730314","M"
"507","19730319","M"
"508","19730401","W"
"509","19730328","M"
"510","19730406","W"
"511","19730410","M"
"512","19730412","M"
"513","19730418","M"
"514","19730426","W"
"515","19730503","M"
"516","19730427","W"
"517","19730509","W"
"518","19730505","M"
"519","19730505","W"
"520","19730514","W"
"521","19730521","M"
"522","19730526","W"
"523","19730530","M"
"524","19730604","W"
"525","19730606","W"
"526","19730620","M"
"527","19730621","M"
"528","19730708","M"
"529","19730711","M"
"530","19730719","M"
"531","19730717","W"
"532","19730720","W"
"533","19730725","W"
"534","19730720","M"
"535","19730727","M"
"536","19730721","W"
"537","19730801","M"
"538","19730802","M"
"539","19730731","M"
"540","19730731","W"
"541","19730812","M"
"542","19730806","W"
"543","19730814","M"
"544","19730904","M"
"545","19730909","M"
"546","19730908","M"
"547","19730911","M"
"548","19730908","M"
"549","19730920","W"
"550","19730919","M"
"551","19731003","M"
"552","19730924","W"
"553","19731013","M"
"554","19731024","M"
"555","19731030","M"
"556","19731103","W"
"557","19731027","M"
"558","19731102","W"
"559","19731108","W"
"560","19731112","M"
"561","19731107","W"
"562","19731108","M"
"563","19731114","M"
"564","19731119","W"
"565","19731121","M"
"566","19731130","W"
"567","19731124","W"
"568","19731204","M"
"569","19731207","M"
"570","19731221","M"
"571","19731229","W"
"572","19740103","W"
"573","19740108","W"
"574","19740109","W"
"575","19731230","M"
"576","19740107","W"
"577","19740111","W"
"578","19740123","M"
"579","19740125","W"
"580","19740121","M"
"581","19740130","W"
"582","19740202","M"
"583","19740201","M"
"584","19740208","W"
"585","19740204","W"
"586","19740208","M"
"587","19740208","M"
"588","19740207","M"
"589","19740222","M"
"590","19740301","M"
"591","19740303","M"
"592","19740314","W"
"593","19740306","M"
"594","19740313","M"
"595","19740310","M"
"596","19740317","M"
"597","19740325","M"
"598","19740328","M"
"599","19740326","W"
"600","19740405","M"
"601","19740422","W"
"602","19740420","M"
"603","19740425","M"
"604","19740428","M"
"605","19740503","W"
"606","19740427","M"
"607","19740511","M"
"608","19740506","M"
"609","19740512","M"
"610","19740512","M"
"611","19740514","M"
"612","19740513","M"
"613","19740530","M"
"614","19740531","M"
"615","19740609","M"
"616","19740614","M"
"617","19740608","W"
"618","19740621","M"
"619","19740704","M"
"620","19740712","M"
"621","19740718","M"
"622","19740713","M"
"623","19740720","W"
"624","19740727","W"
"625","19740801","M"
"626","19740814","M"
"627","19740816","M"
"628","19740820","M"
"629","19740818","M"
"630","19740818","M"
"631","19740826","M"
"632","19740820","W"
"633","19740912","M"
"634","19740911","W"
"635","19740915","M"
"636","19740919","W"
"637","19740921","W"
"638","19740922","M"
"639","19740921","M"
"640","19741002","M"
"641","19741005","M"
"642","19741010","M"
"643","19741003","W"
"644","19741004","W"
"645","19741012","M"
"646","19741017","W"
"647","19741016","W"
"648","19741019","M"
"649","19741030","M"
"650","19741102","M"
"651","19741113","M"
"652","19741127","M"
"653","19741122","W"
"654","19741129","W"
"655","19741129","M"
"656","19741130","M"
"657","19741209","M"
"658","19741209","W"
"659","19741210","M"
"660","19741214","W"
"661","19741215","M"
"662","19741218","M"
"663","19741222","M"
"664","19741220","M"
"665","19741218","W"
"666","19741226","M"
"667","19741221","M"
"668","19741220","M"
"669","19741231","M"
"670","19750101","W"
"671","19750105","W"
"672","19750108","W"
"673","19750117","W"
"674","19750113","M"
"675","19750117","W"
"676","19750206","M"
"677","19750125","M"
"678","19750130","M"
"679","19750208","W"
"680","19750202","W"
"681","19750202","M"
"682","19750208","W"
"683","19750213","W"
"684","19750215","M"
"685","19750211","M"
"686","19750221","M"
"687","19750218","M"
"688","19750222","M"
"689","19750220","W"
"690","19750219","M"
"691","19750219","W"
"692","19750303","W"
"693","19750309","W"
"694","19750308","W"
"695","19750310","M"
"696","19750316","W"
"697","19750322","M"
"698","19750326","M"
"699","19750323","M"
"700","19750408","W"
"701","19750411","M"
"702","19750429","M"
"703","19750501","W"
"704","19750509","M"
"705","19750519","W"
"706","19750518","M"
"707","19750525","M"
"708","19750521","M"
"709","19750528","W"
"710","19750526","M"
"711","19750603","W"
"712","19750530","W"
"713","19750613","M"
"714","19750623","M"
"715","19750628","M"
"716","19750704","W"
"717","19750706","W"
"718","19750713","M"
"719","19750729","W"
